id,nama,latitude,longitude,norm_latitude,norm_longitude
1,Sukasari,6.8694,107.5816,0.0,1.1
2,Cidadap,6.8733,107.5996,0.0,3.7
3,Coblong,6.88351,107.611,0.0,4.4
4,Cobeunying Kaler,6.8856,107.6313,0.0,9.2
5,Sukajadi,6.89269,107.588,15.6,1.9
6,Mandalajati,6.8955,107.677,18.1,59.4
7,Kiaracondong,6.8955,107.677,18.1,59.4
8,Bandung Wetan,6.89728,107.6096,20.9,5.5
9,Cibeunying Kidul,6.89994,107.6371,24.8,10.8
10,Antapani,6.90395,107.6646,30.7,52.9
11,Cicendo,6.9079,107.5974,40.4,3.3
12,Andir,6.9082,107.574,40.9,0.0
13,Ujung Berung,6.913,107.7014,45.6,88.5
14,Sumur Bandung,6.9131,107.6179,45.7,6.5
15,Arcamanik,6.918,107.685,43.9,71.5
16,Cinambo,6.9244,107.6952,50.1,82.4
17,Bandung Kulon,6.9252,107.5745,52.1,0.5
18,Lengkong,6.9281,107.6241,53.4,7.4
19,Cibiru,6.9291,107.72,54.3,100.0
20,Astana Anyar,6.9319,107.5998,55.9,3.1
21,Panyileukan,6.936,107.6995,57.3,86.4
22,Babakan Ciparay,6.9371,107.583,58.0,1.2
23,Batununggal,6.9385,107.6371,59.7,10.8
24,Bojongloa Kaler,6.9388,107.5938,60.0,2.0
25,Bojongloa Kidul,6.94285,107.5967,64.0,2.4
26,Regol,6.94607,107.6118,68.6,5.6
27,Rancasari,6.948,107.6749,72.9,17.1
28,Bandung Kidul,6.959,107.6365,91.6,9.5
29,Buah Batu,6.9612,107.6667,96.5,16.4
30,Gedebage,6.9626,107.6873,100.0,19.8
